----------------------------------------------------------------------------------------------------------
Configuration     | Term   |    J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
                  |        |      |      |                    |                    |          |           
4d3.5s.(3G).5p    | s 4F*  |  3/2 |    4 |        4.823357    |                    |    0.448 |     L3465
                  |        |  5/2 |    6 |        4.866169    |                    |    0.973 |     L3465
                  |        |  7/2 |    8 |        4.912270    |                    |    1.094 |     L3465
                  |        |  9/2 |   10 |        4.960424    |                    |    1.108 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3H).5p    | u 2G*  |  7/2 |    8 |        4.833177    |                    |    1.010 |     L3465
                  |        |  9/2 |   10 |        4.882593    |                    |    1.10  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(d 3F).5p  | t 2G*  |  7/2 |    8 |        4.888305    |                    |    0.91  |     L3465
                  |        |  9/2 |   10 |        4.914465    |                    |    1.04  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3G).5p    | t 4G*  |  5/2 |    6 |        4.901152    |                    |    0.61  |     L3465
                  |        |  7/2 |    8 |        4.945192    |                    |    1.085 |     L3465
                  |        |  9/2 |   10 |        5.011681    |                    |    1.228 |     L3465
                  |        | 11/2 |   12 |        5.019123    |                    |    1.18  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5F).6s    | e 6F   | 11/2 |   12 |        4.915809    |         0.000006   |          |     L9102
                  |        |      |      |                    |                    |          |           
4d4.(1I).5p       | v 2H*  |  9/2 |   10 |        4.940214    |                    |          |     L3465
                  |        | 11/2 |   12 |        4.959740    |                    |    1.152 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 3D).5p  | r 4F*  |  3/2 |    4 |        4.957037    |                    |    0.45  |     L3465
                  |        |  5/2 |    6 |        4.985370    |                    |    0.886 |     L3465
                  |        |  7/2 |    8 |        5.004250    |                    |    1.129 |     L3465
                  |        |  9/2 |   10 |        5.065237    |                    |    1.250 |     L3465
                  |        |      |      |                    |                    |          |           
                  | 400*   |  5/2 |    6 |        4.960588    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3H).5p    | s 4G*  |  5/2 |    6 |        4.969200    |                    |    0.929 |     L3465
                  |        |  7/2 |    8 |        5.028214    |                    |    1.089 |     L3465
                  |        |  9/2 |   10 |        5.073576    |                    |    1.243 |     L3465
                  |        | 11/2 |   12 |        5.129371    |                    |    1.25  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(1F).5p    | q 2F*  |  7/2 |    8 |        5.017605    |                    |    1.17  |     L3465
                  |        |  5/2 |    6 |        5.050519    |                    |    0.91  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(c 3F).5p     | s 4D*  |  1/2 |    2 |                    |                    |          |     L3465
                  |        |  3/2 |    4 |                    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.018124    |                    |    1.29  |     L3465
                  |        |  7/2 |    8 |        5.077569    |                    |    1.367 |     L3465
                  |        |      |      |                    |                    |          |           
                  | 407*   | 11/2 |   12 |        5.051896    |                    |    0.97  |    L12172
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 1D).5p  | w 2P*  |  1/2 |    2 |                    |                    |          |     L3465
                  |        |  3/2 |    4 |        5.093549    |                    |    1.38  |     L3465
                  |        |      |      |                    |                    |          |           
                  | 411*   |  7/2 |    8 |        5.100704    |                    |    0.88  |     L3465
                  |        |      |      |                    |                    |          |           
                  | 414*   |  3/2 |    4 |        5.140505    |                    |    1.42  |     L3465
                  |        |      |      |                    |                    |          |           
                  | q 4F*  |  3/2 |    4 |        5.152146    |                    |    0.556 |     L3465
                  |        |  5/2 |    6 |        5.175886    |                    |    1.25  |     L3465
                  |        |  9/2 |   10 |        5.191703    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.198765    |                    |    1.186 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3G).5p       | s 2G*  |  7/2 |    8 |        5.154223    |                    |          |     L3465
                  |        |  9/2 |   10 |        5.194401    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
                  | 416*   |  5/2 |    6 |        5.159652    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 3P).5p  | r 4D*  |  1/2 |    2 |        5.167266    |                    |          |     L3465
                  |        |  3/2 |    4 |        5.249436    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.275721    |                    |    1.45  |     L3465
                  |        |  5/2 |    6 |        5.296503    |                    |    1.39  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(1F).5p       | p 2F*  |  5/2 |    6 |        5.186149    |                    |    0.86  |     L3465
                  |        |  7/2 |    8 |        5.205768    |                    |    1.135 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(b 3F).5p     | r 2G*  |  7/2 |    8 |                    |                    |          |     L3465
                  |        |  9/2 |   10 |        5.231352    |                    |    1.15  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(c 3F).5p     | s 2D*  |  3/2 |    4 |                    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.246627    |                    |    1.21  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5P).5p    | q 4D*  |  1/2 |    2 |        5.247546    |                    |          |     L3465
                  |        |  3/2 |    4 |        5.266007    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.287046    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.372565    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 3D).5p  | p 4D*  |  1/2 |    2 |        5.306731    |                    |          |     L3465
                  |        |  3/2 |    4 |        5.318931    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.354506    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.382704    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 3D).5p  | o 2F*  |  7/2 |    8 |                    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.317538    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(d 3F).5p  | p 4F*  |  3/2 |    4 |        5.318208    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.334123    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.352770    |                    |    1.22  |     L3465
                  |        |  9/2 |   10 |        5.380393    |                    |    1.28  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(d 3F).5p  | n 2F*  |  5/2 |    6 |        5.373832    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.399905    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
                  | q 2G*  |  9/2 |   10 |                    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.440454    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 3D).5p  | v 2P*  |  3/2 |    4 |        5.463176    |                    |    1.27  |     L3465
                  |        |  1/2 |    2 |        5.703805    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
                  | o 4D*  |  1/2 |    2 |                    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.567577    |                    |          |     L3465
                  |        |  3/2 |    4 |        5.571736    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.600478    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3G).5p    | u 2H*  |  9/2 |   10 |        5.592943    |                    |          |     L3465
                  |        | 11/2 |   12 |        5.611405    |                    |    1.09  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(c 3F).5p     | m 2F*  |  7/2 |    8 |                    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.616149    |                    |    0.94  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(c 3F).5p     | p 2G*  |  7/2 |    8 |        5.668442    |                    |    0.84  |     L3465
                  |        |  9/2 |   10 |        5.701111    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).6p  | n 4D*  |  1/2 |    2 |        5.700650    |                    |          |     L3465
                  |        |  3/2 |    4 |        5.748501    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.804020    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.861432    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).6p  | r 4G*  |  5/2 |    6 |        5.704696    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.761634    |                    |          |     L3465
                  |        |  9/2 |   10 |        5.793062    |                    |          |     L3465
                  |        | 11/2 |   12 |        5.837279    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).6p  | o 4F*  |  3/2 |    4 |        5.724355    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.770666    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.830082    |                    |          |     L3465
                  |        |  9/2 |   10 |        5.911640    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
                  | n 4F*  |  3/2 |    4 |                    |                    |          |     L3465
                  |        |  5/2 |    6 |        5.766480    |                    |          |     L3465
                  |        |  7/2 |    8 |        5.818834    |                    |          |     L3465
                  |        |  9/2 |   10 |        5.845366    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
                  | 469*   |  5/2 |    6 |        5.817274    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3H).5p    | t 2H*  |  9/2 |   10 |        5.821604    |                    |          |     L3465
                  |        | 11/2 |   12 |        5.846502    |                    |    1.00  |     L3465
                  |        |      |      |                    |                    |          |           
                  | o 2G*  |  7/2 |    8 |        5.892782    |                    |    0.92  |     L3465
                  |        |  9/2 |   10 |        5.981300    |                    |    1.10  |     L3465
                  |        |      |      |                    |                    |          |           
                  | 475*   |  3/2 |    4 |        5.893920    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
                  | n 2G*  |  7/2 |    8 |                    |                    |          |     L3465
                  |        |  9/2 |   10 |        6.420931    |                    |          |     L3465
------------------|--------|------|------|--------------------|--------------------|----------|-----------
------------------|--------|------|------|--------------------|--------------------|----------|-----------
Nb II (4d4 5D<0>) | Limit  |  --- |      |        6.75885     |         0.00004    |          |     L6829
----------------------------------------------------------------------------------------------------------
